TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA
CIEL3;4,11;1,58;25,27;1,22;0,14;30,67;8,88;4,13;11,75;15,35;3,60;0,37;1,04;1,76;-0,85;1,11;4,83;0,56;2,85;0,12;0,88;0,14;7,99;-11,13;161.911.305,89;3,37;0,16
CLSC3;60,00;3,96;6,61;1,37;0,22;12,66;6,42;4,27;4,40;5,35;1,30;0,41;0,28;6,92;-0,35;1,10;20,70;3,36;10,21;0,16;0,84;0,79;4,99;-11,18;727.896,67;43,87;9,08
CLSC4;52,00;5,03;5,72;1,19;0,19;12,66;6,42;4,27;3,81;5,35;1,30;0,41;0,24;6,00;-0,30;1,10;20,70;3,36;10,21;0,16;0,84;0,79;4,99;-11,18;352.596,58;43,87;9,08
CMIG3;16,20;3,79;12,12;1,42;0,46;23,11;16,08;8,20;6,18;8,31;2,76;0,64;0,99;3,86;-0,65;1,70;11,73;3,81;10,48;0,32;0,68;0,46;5,38;-0,06;13.938.139,00;11,39;1,34
CMIG4;13,70;4,48;10,25;1,20;0,39;23,11;16,08;8,20;5,23;8,31;2,76;0,64;0,84;3,27;-0,55;1,70;11,73;3,81;10,48;0,32;0,68;0,46;5,38;-0,06;139.144.440,79;11,39;1,34
CMSA3;0,00;;0,00;0,00;0,00;;;;0,00;0,38;0,38;-0,89;;0,00;0,00;141,75;-233,87;-232,40;-237,47;0,99;0,01;0,00;;;;0,00;0,00
CMSA4;0,00;;0,00;0,00;0,00;;;;0,00;0,38;0,38;-0,89;;0,00;0,00;141,75;-233,87;-232,40;-237,47;0,99;0,01;0,00;;;;0,00;0,00
CNSY3;30,22;;-27,81;135,13;5,22;-7,98;-37,91;-48,05;-35,24;-39,58;-4,34;16,62;13,36;-20,45;-5,51;0,17;-485,95;-18,76;-22,50;0,04;0,96;0,39;19,24;;;0,22;-1,09
CNTO3;25,50;;166,84;3,21;1,20;45,63;5,49;1,71;51,87;54,51;2,63;0,16;2,85;4,19;-2,34;2,42;1,92;0,72;2,88;0,37;0,63;0,42;;;41.061.010,92;7,94;0,15
COCE3;63,55;3,34;13,66;1,55;0,50;14,35;9,04;6,37;9,62;12,14;4,45;0,72;0,87;-133,58;-0,73;0,99;11,37;3,67;7,14;0,32;0,68;0,58;8,25;9,99;14.589,47;40,94;4,65
COCE5;55,29;3,84;11,88;1,35;0,44;14,35;9,04;6,37;8,37;12,14;4,45;0,72;0,76;-116,22;-0,63;0,99;11,37;3,67;7,14;0,32;0,68;0,58;8,25;9,99;894.539,24;40,94;4,65
COCE6;30,22;7,03;6,49;0,74;0,24;14,35;9,04;6,37;4,57;12,14;4,45;0,72;0,41;-63,52;-0,35;0,99;11,37;3,67;7,14;0,32;0,68;0,58;8,25;9,99;;40,94;4,65
COGN3;4,52;;-4,34;0,49;0,24;59,44;-15,18;-31,59;-9,03;-16,65;-7,61;0,42;1,37;2,09;-0,31;1,94;-11,37;-5,42;-3,65;0,48;0,49;0,17;13,24;-24,68;278.798.740,39;9,16;-1,04
CORR3;2,71;;0,01;0,01;0,00;74,74;56,37;53,90;0,01;-0,09;-0,21;-0,35;0,00;0,00;-0,02;13,09;164,96;40,75;159,34;0,25;0,75;0,76;-33,38;;;240,27;396,36
CORR4;69,00;;0,17;0,29;0,07;74,74;56,37;53,90;0,17;-0,09;-0,21;-0,35;0,09;0,09;-0,41;13,09;164,96;40,75;159,34;0,25;0,75;0,76;-33,38;;10.850,00;240,27;396,36
CPFE3;31,11;5,79;10,18;2,47;0,71;22,58;16,55;11,87;7,31;9,77;2,46;0,83;1,21;12,18;-1,03;1,23;24,22;6,95;11,08;0,29;0,71;0,59;11,46;25,40;68.795.680,82;12,61;3,06
CPLE3;62,15;4,53;4,39;0,85;0,38;29,92;22,48;18,04;3,52;5,00;1,39;0,33;0,79;5,92;-0,49;1,40;19,32;8,60;10,59;0,45;0,55;0,48;3,14;9,08;12.929.585,05;73,29;14,16
CPLE5;134,06;4,10;9,47;1,83;0,81;29,92;22,48;18,04;7,60;5,00;1,39;0,33;1,71;12,77;-1,05;1,40;19,32;8,60;10,59;0,45;0,55;0,48;3,14;9,08;6.052,00;73,29;14,16
CPLE6;65,28;4,75;4,61;0,89;0,40;29,92;22,48;18,04;3,70;5,00;1,39;0,33;0,83;6,22;-0,51;1,40;19,32;8,60;10,59;0,45;0,55;0,48;3,14;9,08;97.250.902,76;73,29;14,16
CPRE3;18,23;;19,05;1,89;0,86;49,98;35,17;28,88;15,64;17,64;2,00;0,24;5,50;-91,82;-0,99;0,94;9,91;4,50;5,66;0,45;0,54;0,16;9,10;;5.456,00;9,66;0,96
CRDE3;26,78;;-20,22;0,54;0,49;80,97;3,49;-48,06;278,39;201,67;-76,73;-0,15;9,72;3,00;-0,61;4,89;-2,67;-2,41;-0,28;0,90;0,10;0,05;11,36;;32.434,93;49,69;-1,32
CREM3;14,50;;32,70;2,45;0,67;30,30;7,39;2,10;9,28;13,11;3,84;1,01;0,69;4,89;-1,69;1,29;7,50;2,05;9,29;0,27;0,73;0,98;1,09;;;5,91;0,44
CRFB3;19,04;1,31;15,94;2,56;0,81;20,00;6,10;3,52;9,19;10,51;1,32;0,37;0,56;16,39;-1,57;1,11;16,05;5,10;13,12;0,32;0,65;1,45;10,32;12,50;102.192.625,45;7,45;1,19
CRIV3;7,17;;12,71;0,76;0,13;53,72;17,06;11,75;8,76;8,38;;;1,49;1,01;-0,17;2,93;5,95;1,05;;0,18;0,82;0,09;-5,15;14,18;82.462,42;9,49;0,56
CRIV4;6,45;6,74;11,43;0,68;0,12;53,72;17,06;11,75;7,88;8,38;;;1,34;0,91;-0,15;2,93;5,95;1,05;;0,18;0,82;0,09;-5,15;14,18;51.055,27;9,49;0,56
