TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
BMLC11;91,00;7,58;0,85;14.682,00;2,65;15,87;4,62;106.667.820,94;1.578,00;Ativa;
BBFI11B;2.489,84;12,28;0,98;407.036,05;8,14;1,53;7,04;329.005.032,61;7.928,00;Passiva;
BNFS11;127,04;9,67;1,22;35.531,90;4,83;6,03;3,98;72.845.514,53;3.392,00;Ativa;
ERCR11;77.550,00;5,79;0,94;2.311.100,00;0,05;;;196.172.390,82;10,00;Passiva;
ERPA11;140,00;0,00;1,31;140,00;0,09;;;53.131.812,62;12,00;Passiva;
BPFF11;76,98;8,50;0,95;637.944,60;7,84;-5,09;-5,46;363.414.679,16;20.410,00;Ativa;
BPML11;86,80;1,37;0,65;165.805,20;5,83;;;571.062.941,36;1.273,00;Ativa;
BPRP11;115,48;8,01;1,07;1.695,88;0,07;;;145.791.576,89;195,00;Passiva;
BRCO11;106,53;6,17;0,98;2.941.886,10;2,40;;;1.602.620.953,09;38.383,00;Ativa;
BRCR11;81,01;6,98;0,75;2.314.564,45;1,03;-27,88;-3,09;2.872.016.394,48;127.422,00;Ativa;
BRHT11B;86,80;0,00;1,05;;0,89;;;151.702.598,74;11,00;--;
GCFF11;88,08;10,59;0,95;97.685,85;2,55;;;31.517.178,39;1.543,00;Ativa;
GCRI11;100,55;5,92;0,99;233.631,10;1,59;;;87.271.038,43;330,00;Ativa;
BBFO11;83,35;4,22;0,93;116.491,50;1,23;;;360.330.864,40;3.807,00;Passiva;
CARE11;0,77;1,63;0,48;286.162,00;1,41;;-24,23;288.226.960,59;12.159,00;Ativa;
HAAA11;101,39;4,70;1,06;78.044,13;1,27;;;260.387.708,16;116,00;Ativa;
HABT11;130,80;13,63;1,32;3.376.065,70;24,55;;;536.446.500,11;30.038,00;Ativa;
HBTT11;1.055,00;2,42;;37.746,53;;;;0,00;0,00;Ativa;
HCST11;100,50;0,00;0,95;387,13;15,84;;;30.376.698,79;94,00;Ativa;
CJCT11;61,00;0,00;0,91;156.343,58;0,94;;9,86;182.458.042,21;1.538,00;Passiva;
CNES11;39,60;5,23;0,45;17.632,55;5,65;7,74;-20,23;257.410.582,39;2.472,00;Passiva;
HGBS11;199,00;3,07;0,93;1.582.812,35;0,40;-29,03;0,08;2.131.346.004,67;81.789,00;Ativa;
BBPO11;115,39;11,26;1,20;1.248.070,00;4,89;1,84;-3,52;1.531.018.537,44;65.692,00;Passiva;
CORM11;112,12;3,21;1,14;870.715,39;4,90;;;90.158.410,27;91,00;Ativa;
HGRE11;140,50;6,41;0,83;2.315.549,25;2,20;0,71;5,03;1.993.908.332,77;112.225,00;Ativa;
HGRU11;120,44;7,04;1,02;4.736.510,70;0,83;0,88;4,68;2.163.884.197,45;135.358,00;Ativa;
HLOG11;111,45;6,89;0,94;82.902,60;1,54;;;505.866.429,64;4.010,00;Ativa;
HMOC11;226,95;66,11;0,95;69.159,67;0,67;122,18;;91.223.530,50;209,00;Passiva;
DOMC11;439,00;0,00;3,98;17.499,67;0,03;;-1,54;269.460.438,30;1.158,00;Passiva;
JBFO11;95,56;1,74;1,02;235.824,43;0,60;;;119.504.763,75;352,00;Ativa;
BLMG11;102,43;4,08;1,03;875.372,95;3,93;;;379.648.621,85;3.248,00;Ativa;
CCRF11;0,00;0,00;;;71,46;;;157.472.858,79;12,00;Ativa;
ESTQ11;0,00;0,00;;;19,19;;;20.690.913,49;5,00;Ativa;
LASC11;91,99;5,33;0,89;1.370.272,00;9,53;;;259.787.014,62;134,00;Ativa;
LATR11B;120,00;6,24;4,15;1.800,00;111,50;;;3.589.511,84;163,00;Ativa;
LKDV11;0,00;0,00;;;25,82;;;32.696.507,57;57,00;Ativa;
BLMO11;26.004,50;0,00;1,01;52.009,00;9,76;;;97.694.692,43;95,00;Ativa;
BLMR11;82,92;3,56;0,91;937.960,05;2,47;;;232.833.007,62;3.960,00;Ativa;
GESE11B;1.520,00;7,00;0,92;456.000,00;1,25;;;86.050.114,26;55,00;Passiva;
MBRF11;886,00;10,17;0,78;43.041,45;3,87;-2,74;-4,40;116.103.986,52;2.830,00;Ativa;
