TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
MVFI11;0,00;;0,00;1,69;;;0,09;;;132.255.514,85;1,00;Ativa;78.155.673,00
HABT11;102,00;1,250000;17,30;98,70;1,03;2.273.129,56;4,45;;;732.598.268,95;52.486,00;Ativa;7.422.668,00
VSHO11;79,99;0,610000;8,66;102,38;0,78;27.022,85;1,96;-3,21;-7,23;214.879.897,14;2.053,00;Ativa;2.098.800,00
EDFO11B;203,00;1,540331;8,47;191,85;1,06;6.796,80;1,65;-3,59;-11,81;45.277.206,52;546,00;Passiva;236.000,00
BTSG11;0,00;0,780000;0,00;133,24;;;0,69;;;103.259.336,82;52,00;Ativa;775.015,00
LGCP11;76,99;0,600000;8,87;102,08;0,75;130.614,82;0,76;;;278.969.746,98;9.844,00;Ativa;2.732.860,00
SHOP11;100,00;;0,00;48,53;2,06;;7,19;;;71.885.130,06;12,00;Ativa;1.481.266,00
RBRR11;101,00;1,200000;11,61;97,64;1,03;3.700.651,38;3,90;19,41;-0,72;1.011.747.606,45;94.631,00;Ativa;10.362.300,00
JSAF11;83,34;0,930000;6,08;97,76;0,85;209.147,18;16,10;;;153.780.849,60;1.955,00;Ativa;1.573.047,00
JCDA11;0,00;;0,00;10,84;;;1,99;;;136.542.867,49;49,00;Ativa;12.594.791,00
HCTR11;107,80;1,750000;17,76;119,76;0,90;13.961.551,94;2,50;;;2.644.863.048,31;175.943,00;Ativa;22.084.202,00
MCHY11;110,00;1,500000;10,83;104,75;1,05;1.021.615,53;3,42;;;376.035.579,75;215,00;--;3.589.771,00
ALMI11;932,03;0,371133;0,00;2.246,46;0,41;54.353,18;1,13;;-13,07;249.754.437,61;3.057,00;Passiva;111.177,00
MAXR11;81,87;0,802073;9,85;120,39;0,68;79.567,24;1,19;-6,45;-8,19;135.521.227,23;4.178,00;Passiva;1.125.655,00
BBRC11;97,08;0,940000;12,00;108,07;0,90;82.215,79;5,03;-1,22;-10,22;171.829.051,22;9.097,00;Passiva;1.590.000,00
PVBI11;95,20;0,560000;7,07;99,02;0,96;3.950.498,85;0,88;;;994.090.340,22;65.896,00;Ativa;10.039.493,00
OURE11;77,22;0,950000;14,44;92,61;0,83;117.322,47;12,49;15,15;-6,67;99.754.256,25;4.915,00;Ativa;1.077.087,00
NPAR11;12,82;1,196695;9,33;14,07;0,91;3.347,73;100,00;;;1.682.250,84;772,00;Ativa;119.589,00
HRDF11;1,17;6,800000;0,00;1,28;0,91;643,71;46,26;;;9.730.667,01;1.301,00;Ativa;7.587.125,00
PRTS11;117,70;0,054870;0,05;0,06;1.961,67;;103,36;;;3.111.607,44;11,00;Ativa;55.727.500,00
BPFF11;63,20;0,650000;11,09;78,25;0,81;474.400,12;4,31;-8,50;-11,61;351.510.085,49;20.288,00;Ativa;4.492.326,00
ITIP11;82,75;1,020000;13,03;87,37;0,95;124.374,12;1,20;;;65.369.101,29;2.446,00;Passiva;748.151,00
HUSC11;92,00;0,880000;8,83;142,98;0,64;5.896,67;1,27;;-15,98;113.611.967,47;753,00;Passiva;794.613,00
GESE11B;1.520,00;14,000544;9,02;1.664,37;0,91;;1,03;;;86.547.381,68;54,00;--;52.000,00
VLOL11;96,00;0,620000;6,18;103,54;0,93;108.496,12;1,41;3,27;-1,02;184.805.807,65;3.822,00;Passiva;1.784.828,00
EQIR11;97,02;1,100000;6,61;101,37;0,96;4.347,70;3,45;;;50.940.200,31;143,00;Ativa;502.500,00
MATV11;96,90;1,100000;8,57;96,27;1,01;71.194,62;8,64;;;33.432.508,17;235,00;Ativa;347.280,00
JPPA11;102,05;1,800000;14,42;106,88;0,95;167.364,65;3,20;;;64.554.501,79;1.684,00;Ativa;603.964,00
RBTS11;1.000,00;23,361118;5,97;1.174,56;0,85;;1,18;;;66.392.077,30;56,00;Ativa;56.525,00
SPTW11;43,28;0,400000;18,97;52,87;0,82;161.842,41;5,70;-1,03;-21,02;95.065.138,49;21.509,00;Passiva;1.798.000,00
LKDV11;0,00;;0,00;974,41;;;20,23;;;65.101.307,80;68,00;Ativa;66.811,00
BRIM11;1.170,83;48,000000;12,30;1.050,92;1,11;109.219,50;4,05;;;130.458.677,51;198,00;Ativa;124.137,00
AIEC11;78,99;0,720000;11,05;101,24;0,78;781.402,06;1,19;;;488.502.376,91;8.201,00;Ativa;4.824.987,00
JRDM11;76,50;0,472454;5,46;87,47;0,87;134.232,26;2,21;-10,37;-2,29;220.695.910,76;4.608,00;Passiva;2.522.968,00
PNLN11;0,00;;0,00;41,95;;;51,10;;;209.727,54;1,00;Ativa;5.000,00
