TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
SELF;4,32;6,71;21,09;1,01;0,72;63,42;25,33;18,59;9,89;18,74;3,26;0,21;3,92;;-0,72;;4,77;3,41;4,79;0,72;0,28;0,18;9,83;;;4,30;0,20;;48.137.760,00
SITC;14,06;4,84;11,56;1,35;0,72;69,66;64,03;46,60;5,19;11,44;3,02;0,49;5,39;;-0,72;;11,70;6,27;9,15;0,54;0,46;0,13;-5,03;18,35;;10,39;1,22;;2.943.565.044,00
SKT;28,96;3,49;31,81;5,57;1,36;68,66;30,91;21,35;12,28;31,84;9,87;2,50;6,79;;-1,36;;17,49;4,27;7,16;0,24;0,76;0,20;-1,26;17,83;;5,20;0,91;;3.154.233.424,00
SLG;52,95;6,02;-6,08;0,91;0,36;51,66;-55,66;-61,79;26,51;-12,57;-5,83;0,78;3,76;;-0,36;;-14,91;-5,92;-6,84;0,40;0,56;0,10;-5,73;;;58,43;-8,71;;3.431.107.050,00
SNR;8,82;;-27,24;4,07;0,43;39,07;9,48;-8,40;;71,62;47,47;7,99;2,29;;-0,43;;-14,93;-1,56;1,84;0,10;0,88;0,19;-2,84;;;2,17;-0,32;;741.437.424,00
SOHO;1,46;;5,02;0,56;0,07;26,81;15,78;3,31;0,61;11,67;10,62;5,60;0,17;;-0,07;;11,07;1,43;7,31;0,13;0,87;0,43;1,49;136,15;;2,63;0,29;;28.757.328,00
SOHOB;19,00;10,53;65,34;7,23;0,93;26,81;15,78;3,31;7,98;11,67;10,62;5,60;2,16;;-0,93;;11,07;1,43;7,31;0,13;0,87;0,43;1,49;136,15;;2,63;0,29;;28.757.328,00
SOHON;19,30;10,69;66,37;7,35;0,95;26,81;15,78;3,31;8,10;11,67;10,62;5,60;2,20;;-0,95;;11,07;1,43;7,31;0,13;0,87;0,43;1,49;136,15;;2,63;0,29;;28.757.328,00
SOHOO;18,80;10,47;64,65;7,16;0,92;26,81;15,78;3,31;7,89;11,67;10,62;5,60;2,14;;-0,92;;11,07;1,43;7,31;0,13;0,87;0,43;1,49;136,15;;2,63;0,29;;28.757.328,00
SPG;152,25;4,99;21,76;16,41;1,45;81,83;48,10;40,29;12,23;26,99;8,77;7,89;8,77;;-1,45;;75,42;6,65;9,37;0,09;0,91;0,17;0,05;-1,32;;9,28;7,00;;49.618.122.750,00
SQFT;1,24;7,34;0,88;0,27;0,09;66,38;156,11;104,49;0,49;4,03;3,44;1,58;0,92;;-0,09;;30,71;10,35;16,30;0,34;0,66;0,10;-11,85;;;4,57;1,40;;16.281.076,00
SRC;42,49;6,27;24,16;1,34;0,69;100,00;53,07;33,14;8,31;24,35;9,26;0,82;8,01;;-0,69;;5,53;2,87;4,77;0,52;0,48;0,09;10,59;29,92;;31,79;1,76;;6.005.162.688,00
STAG;38,26;3,85;36,11;2,06;1,11;80,28;41,22;27,21;12,22;32,91;9,07;0,78;9,83;;-1,11;;5,71;3,07;4,83;0,54;0,46;0,11;15,06;15,72;;18,56;1,06;;6.955.029.058,00
STAR;7,63;;1,62;0,47;0,20;56,18;-68,15;282,90;-7,30;-9,15;-2,44;0,17;4,58;;-0,20;;29,08;12,59;-3,21;0,43;0,57;0,04;-24,05;19,12;;16,22;4,72;;662.558.680,00
STOR;32,22;;28,36;1,70;0,87;100,00;61,20;38,95;10,98;27,57;9,52;0,90;11,05;;-0,87;;6,01;3,06;4,94;0,51;0,49;0,08;15,41;16,82;;18,91;1,14;;9.108.136.476,00
STWD;20,34;9,44;18,79;1,02;0,09;-10,10;1.094,98;200,39;3,37;4,62;1,18;0,35;37,65;;-0,09;;5,43;0,49;21,17;0,09;0,90;0,00;-17,08;-2,54;;19,95;1,08;;6.374.065.806,00
SUI;128,98;2,88;-75,23;2,27;0,95;46,90;3,14;-6,71;160,79;241,74;80,95;1,14;5,05;;-0,95;;-3,01;-1,26;0,60;0,42;0,57;0,19;23,05;;;56,93;-1,71;;16.046.685.556,00
SVC;6,59;12,14;-33,33;0,89;0,15;34,69;16,44;-1,75;1,52;20,46;16,91;4,25;0,58;;-0,15;;-2,67;-0,45;4,54;0,17;0,83;0,25;-3,97;;;7,40;-0,20;;1.092.411.779,00
TCI;39,10;;56,90;0,41;0,32;44,10;34,91;11,90;;19,95;0,55;0,01;6,77;;-0,32;;0,72;0,57;1,54;0,79;0,21;0,05;-16,23;-49,54;;95,61;0,69;;337.796.630,00
TCO;0,00;;;;;73,09;0,57;-10,09;;1.084,74;1.084,74;;;;;;-61,10;-1,29;0,04;-0,02;1,02;0,13;;;;;;;0,00
TRMT;5,22;;6,68;0,48;0,18;;;;4,25;3,13;-0,75;-0,09;;;-0,18;;7,23;2,63;12,33;0,36;0,64;0,00;;;;10,81;0,78;;43.390.206,00
TRNO;64,39;2,64;37,37;1,93;1,44;75,56;54,47;46,59;23,76;35,58;3,62;0,22;17,41;;-1,44;;5,17;3,86;4,74;0,75;0,25;0,08;16,37;19,07;;33,31;1,72;;5.633.294.369,00
TRTX;7,93;17,03;-4,98;0,55;0,15;100,00;568,48;-447,34;3,81;2,80;-1,12;-0,16;22,29;;-0,15;;-11,02;-2,94;13,61;0,27;0,73;0,01;84,18;;;14,44;-1,59;;617.497.998,00
TWO;12,95;15,06;-10,45;0,61;0,10;;;;2,28;4,39;2,00;0,51;;;-0,10;;-5,82;-0,98;13,04;0,17;0,83;0,00;;;;21,30;-1,24;;1.339.383.535,00
UBA;21,16;2,17;32,58;1,48;0,84;66,54;37,89;17,63;9,68;21,06;5,90;0,58;5,74;;-0,84;;4,55;2,59;6,11;0,57;0,37;0,15;2,98;-5,59;;14,27;0,65;;832.235.496,00
UBP;21,22;1,94;32,67;1,49;0,85;66,54;37,89;17,63;9,71;21,06;5,90;0,58;5,76;;-0,85;;4,55;2,59;6,11;0,57;0,37;0,15;2,98;-5,59;;14,27;0,65;;832.235.496,00
UDR;37,29;4,51;27,93;3,08;1,08;65,68;40,40;27,00;8,88;27,52;8,84;1,46;7,54;;-1,08;;11,01;3,86;6,66;0,35;0,56;0,14;9,23;16,95;;12,12;1,33;;12.276.766.689,00
UHT;35,64;8,11;31,99;2,45;0,83;94,43;32,56;16,11;8,30;27,12;11,29;1,75;5,16;;-0,83;;7,66;2,58;5,55;0,34;0,66;0,16;4,63;-8,64;;14,54;1,11;;492.690.924,00
UMH;16,02;5,12;323,96;1,58;0,78;53,63;18,25;1,55;11,31;43,47;15,93;0,91;5,03;;-0,78;;0,49;0,24;2,87;0,49;0,51;0,15;11,26;;;10,16;0,05;;1.110.873.258,00
UNIT;6,04;9,93;-17,58;-0,58;0,29;100,00;31,26;-7,13;2,06;19,26;15,24;;1,25;;-0,29;;-3,30;-1,63;9,52;-0,49;1,49;0,23;2,47;;;-10,41;-0,34;;1.442.061.476,00
VER;50,30;;51,85;1,83;0,92;89,60;40,92;19,16;12,46;26,51;2,23;0,17;9,93;;-0,92;;3,53;1,77;6,38;0,50;0,50;0,09;-4,22;;;27,47;0,97;;11.526.224.880,00
VICI;28,87;5,66;11,98;1,19;0,68;100,00;93,20;69,59;8,81;13,75;4,81;0,64;8,33;;-0,68;;9,95;5,70;8,00;0,57;0,43;0,08;32,10;36,85;;24,22;2,41;;30.102.157.165,00
VNO;27,53;1,09;88,98;0,95;0,32;50,02;22,71;3,25;5,99;29,74;16,99;1,27;2,89;;-0,32;;1,07;0,36;2,78;0,34;0,62;0,11;-3,49;-22,80;;28,94;0,31;;5.241.455.971,00
VTR;43,40;4,15;-524,45;1,84;0,71;43,05;11,47;-0,74;9,34;59,07;25,12;1,36;3,89;;-0,71;;-0,35;-0,13;2,20;0,38;0,60;0,18;3,67;;;23,58;-0,08;;17.466.833.440,00
